Year,Month,Active Customers,No of Bills,No of Payments,Billing Index,Collection Index,Bill Amount (NGN),Collection Amount (NGN),Collection Efficiency,KwH CONSUMPTION,CSP CODE,SUPERVISOR CODE
2017,Jan,983,1715,508,1.744659207,0.296209913,2636463.5,588100,0.223063964,121990,CSP118,SUP225
2018,Jan,2529,2503,1471,0.989719257,0.587694766,9435427.2,2106800,0.223286127,370685,CSP010,SUP076
2017,Dec,3296,4586,1444,1.391383495,0.314871348,13071608.23,2919840,0.223372668,569151,CSP153,SUP346
2018,Jan,3501,2325,1557,0.664095973,0.669677419,13639685.92,3056209.36,0.224067429,596692,CSP087,SUP252
2018,Feb,719,720,239,1.001390821,0.331944444,5757101.32,1293500,0.22467904,230855,CSP165,SUP281
2017,Jun,2492,3775,1740,1.514847512,0.460927152,12696185.13,2853700,0.224768304,549482,CSP003,SUP183
2017,Nov,1382,1365,500,0.987698987,0.366300366,7234668.5,1626950,0.224882453,293550,CSP128,NULL
2017,May,393,346,216,0.880407125,0.624277457,2307717.18,520700,0.225634235,89685,CSP115,SUP221
2018,Jan,1303,1409,481,1.081350729,0.341376863,3174823.6,717180,0.225896015,140697,CSP117,SUP196
2017,Aug,1982,1468,718,0.740665994,0.489100817,10737531.08,2428104,0.22613243,454502,CSP040,SUP104
2017,Aug,991,1356,686,1.368314834,0.505899705,8759249.82,1983048.38,0.226394774,361861,CSP147,SUP216
2017,Aug,1765,1083,614,0.613597734,0.566943675,10892757.8,2471700,0.226912233,404868,CSP041,SUP239
2017,Feb,469,861,381,1.835820896,0.442508711,2100373.25,476900,0.227054882,98188,CSP158,SUP045
2017,Aug,4008,4099,2675,1.022704591,0.652598195,13803493.22,3138870,0.227396786,610065,CSP137,SUP230
2018,Feb,1540,1487,928,0.965584416,0.624075319,10397756.75,2365770,0.227526962,444483,CSP076,SUP350
2017,Nov,3501,2309,1316,0.65952585,0.569943699,10798925.22,2458146.66,0.227628825,471639,CSP087,SUP252
2017,Jun,1981,2562,1117,1.293286219,0.43598751,9549512.7,2179000,0.228179182,412138,CSP007,SUP266
2017,Dec,2652,2133,1005,0.804298643,0.47116737,20280933.86,4632700,0.228426365,859990,CSP043,SUP244
2017,Jul,1171,1280,746,1.093082835,0.5828125,3707185.6,848090,0.228769231,152406,CSP127,SUP157
2016,Sep,54,24,11,0.444444444,0.458333333,118430.4,27100,0.228826382,5760,CSP087,SUP252
2017,Nov,1225,1431,365,1.168163265,0.255066387,9582853.01,2193700,0.2289193,386653,CSP032,SUP283
2017,May,267,372,99,1.393258427,0.266129032,2029485.11,464700,0.228974333,87613,CSP126,SUP172
2017,Aug,1540,1456,967,0.945454545,0.664148352,10746392.3,2465910,0.229463985,457584,CSP076,SUP174
2016,Nov,331,116,28,0.350453172,0.24137931,569087.99,131100,0.230368594,25030,CSP138,SUP288
2017,Aug,2652,2347,1188,0.884992459,0.5061781,19818466.63,4577020.1,0.230947237,849903,CSP043,SUP219
2018,Feb,2652,2182,886,0.822775264,0.406049496,14943038.18,3453170,0.231088883,636759,CSP043,SUP244
2018,Feb,1422,1655,934,1.163853727,0.564350453,6320283.87,1462680,0.231426314,277232,CSP095,SUP034
2018,Mar,1422,1674,963,1.17721519,0.575268817,6858007.75,1592770,0.232249665,301200,CSP095,SUP034
2017,May,330,563,308,1.706060606,0.547069272,2819701.82,659300,0.23381905,123476,CSP119,SUP106
2018,Jan,1540,1450,787,0.941558442,0.542758621,8918873.72,2089805,0.234312657,381434,CSP076,SUP350
2017,Feb,508,910,352,1.791338583,0.386813187,2667026.15,625805,0.234645243,112270,CSP147,SUP216
2017,Apr,1165,1428,887,1.225751073,0.621148459,4369191.97,1032050,0.236210724,193425,CSP137,SUP230
2016,Oct,313,410,171,1.309904153,0.417073171,2027486.8,479865,0.236679716,102346,CSP156,SUP009
2018,Apr,991,1491,747,1.504540868,0.501006036,8903564.96,2109724.26,0.236952757,370638,CSP147,SUP150
2016,Aug,983,1671,624,1.699898271,0.373429084,3130513.58,742655,0.237231042,142978,CSP118,SUP225
2017,May,1346,1072,433,0.796433878,0.40391791,3063598.08,729880,0.23824274,135928,CSP064,SUP020
2017,May,163,581,202,3.564417178,0.34767642,3039163.9,724350,0.238338577,129013,CSP099,SUP332
2017,Aug,3924,3299,1208,0.840723751,0.366171567,8493807.53,2025860,0.238510231,373543,CSP069,SUP137
2018,Mar,3296,4360,1199,1.322815534,0.275,10192091.53,2432810,0.238695855,442972,CSP153,SUP346
